fips,name,gcd_funding,pgma,moratorium_june,moratorium,land_score,infra_score,risk_june,risk_sept,rank_june,rank_sept,rank_delta,is_lit,is_peer
48491,Williamson,0,0,0,0,0.081323145010947,1,0.566270441756472,0.566270441756472,135,134,1,TRUE,FALSE
48241,Jasper,0,0,0,0,0.770907894682489,0.194063390774817,0.565668684266139,0.565668684266139,136,135,1,FALSE,FALSE
48181,Grayson,0,0,0,0,0.403103828662594,0.608955880919683,0.559650442791427,0.559650442791427,137,136,1,FALSE,FALSE
48279,Lamb,0,0,0,0,0.38800920577855,0.616240654599957,0.55527801357461,0.55527801357461,138,137,1,FALSE,FALSE
48369,Parmer,0,0,0,0,0.604846999261559,0.361404204543545,0.554490801520786,0.554490801520786,139,138,1,FALSE,FALSE
48251,Johnson,0,0,0,0,0.409877809970328,0.583403520756161,0.552176734118451,0.552176734118451,140,139,1,FALSE,FALSE
48257,Kaufman,0,0,0,0,0.380966966332614,0.609391745720416,0.54889873429414,0.54889873429414,141,140,1,FALSE,FALSE
48083,Coleman,0,0,0,0,0.483870962917008,0.486229148611267,0.547582665747223,0.547582665747223,142,141,1,FALSE,FALSE
48143,Erath,0,0,0,0,0.458144276391175,0.515579387399616,0.547301395120338,0.547301395120338,143,142,1,FALSE,FALSE
48071,Chambers,0,0,0,0,0.475140857498693,0.487186546707002,0.543675144924563,0.543675144924563,144,143,1,FALSE,FALSE
48067,Cass,0,0,0,0,0.784344013970034,0.124965472373895,0.543046713825606,0.543046713825606,145,144,1,FALSE,FALSE
48419,Shelby,0,0,0,0,0.759290505833019,0.150061899373344,0.541296718245889,0.541296718245889,146,145,1,FALSE,FALSE
48223,Hopkins,0,0,0,0,0.538754033850629,0.390310094413214,0.534079210656793,0.534079210656793,147,146,1,FALSE,FALSE
48113,Dallas,0,0,0,0,0.00559867760342864,1,0.528860271925286,0.528860271925286,148,147,1,TRUE,FALSE
48471,Walker,0,0,0,0,0.417906096061457,0.496280239909282,0.519250211780175,0.519250211780175,149,148,1,FALSE,FALSE
48171,Gillespie,0,0,0,0,0.541189496258218,0.351729146148001,0.51894512973016,0.51894512973016,150,149,1,FALSE,FALSE
48365,Panola,0,0,0,0,0.699515365386676,0.163275424031589,0.517361322092612,0.517361322092612,151,150,1,FALSE,FALSE
48195,Hansford,0,0,0,0,0.724365592571111,0.130879022804318,0.515919684455611,0.515919684455611,152,151,1,FALSE,FALSE
48401,Rusk,0,0,0,0,0.61828853391067,0.25074169431496,0.514270796620383,0.514270796620383,153,152,1,FALSE,FALSE
48163,Frio,0,0,0,0,0.464575472370785,0.422182196320016,0.510929147146639,0.510929147146639,154,153,1,FALSE,FALSE
48299,Llano,0,0,0,0,0.491868919245233,0.38523241575485,0.508766385122129,0.508766385122129,155,154,1,FALSE,FALSE
48503,Young,0,0,0,0,0.480396255212742,0.378791116274993,0.500370946526867,0.500370946526867,156,155,1,FALSE,FALSE
48035,Bosque,2,0,0,0,0.942458420565415,1,0.497667081403852,0.497667081403852,157,156,1,TRUE,FALSE
48199,Hardin,0,0,0,0,0.504370340457353,0.332636931410075,0.492670674170669,0.492670674170669,158,157,1,FALSE,FALSE
48415,Scurry,0,0,0,0,0.253788943654045,0.617437501061959,0.489475967544631,0.489475967544631,159,158,1,FALSE,FALSE
48123,DeWitt,0,0,0,0,0.496453993900694,0.322809796462669,0.484598416655271,0.484598416655271,160,159,1,FALSE,FALSE
48165,Gaines,0,0,0,0,0.446023995654585,0.379513700046854,0.48369599534108,0.48369599534108,161,160,1,FALSE,FALSE
48495,Winkler,0,0,0,0,0.1809780516,0.684895680147516,0.482070655366827,0.482070655366827,162,161,1,FALSE,FALSE
48363,Palo Pinto,0,0,0,0,0.477965584351663,0.320208146299431,0.474362904710452,0.474362904710452,163,162,1,FALSE,FALSE
48421,Sherman,0,0,0,0,0.658098246038914,0.107502661407425,0.473282794068044,0.473282794068044,164,163,1,FALSE,FALSE
48339,Montgomery,0,0,0,0,0.225594769811278,0.606812276044772,0.471047897254875,0.471047897254875,165,164,1,FALSE,FALSE
48239,Jackson,0,0,0,0,0.539410402699135,0.233263428112362,0.467901372848012,0.467901372848012,166,165,1,FALSE,FALSE
48191,Hall,2,0,0,0,0.87588667141047,1,0.464778630324454,0.464778630324454,167,166,1,TRUE,FALSE
48025,Bee,0,0,0,0,0.511331242918282,0.253771306721834,0.462713573076721,0.462713573076721,168,167,1,FALSE,FALSE
48397,Rockwall,0,0,0,0,0.128030543539111,0.700380989792002,0.462470312827177,0.462470312827177,169,168,1,FALSE,FALSE
48049,Brown,0,0,0,0,0.412217060746973,0.359564951821614,0.458546964830292,0.458546964830292,170,169,1,FALSE,FALSE
48429,Stephens,0,0,0,0,0.390527363550331,0.379901550997795,0.456443223172537,0.456443223172537,171,170,1,FALSE,FALSE
48115,Dawson,0,0,0,0,0.182140743817227,0.617038145016704,0.453910487704673,0.453910487704673,172,171,1,FALSE,FALSE
48187,Guadalupe,0,0,0,0,0.225975518206129,0.56298024031165,0.452675129502157,0.452675129502157,173,172,1,FALSE,FALSE
48003,Andrews,0,0,0,0,0.176358991111167,0.612209778603386,0.449009534497595,0.449009534497595,174,173,1,FALSE,FALSE
48317,Martin,1,0,0,0,0.769520110798728,0.503010134249503,0.448792864991858,0.448792864991858,175,174,1,FALSE,FALSE
