fips,rural_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,severe_housing_cost_burden_raw_value
10003,0.0609424253,0,0.1439908257,0.1300085173
10005,0.3758183151,1,0.1370168612,0.1145766015
11001,0,1,0.1966591961,0.1643468899
12001,0.2324144965,0,0.2099423837,0.2083746628
12003,0.6149545278,0,0.0996483001,0.114664852
12005,0.1420931878,1,0.1551180022,0.1299645271
12007,0.7074868389,0,0.191299498,0.1731626472
12009,0.0388040461,1,0.1482557541,0.1397013472
12011,7.81742e-05,0,0.2452403869,0.2288697134
12013,1,0,0.1167964405,0.1011932079
12015,0.0649997056,1,0.1433146033,0.1350410053
12017,0.2497416197,0,0.1205862252,0.1289917394
12019,0.1442553094,0,0.1100277652,0.1107634387
12021,0.1162282569,0,0.2004098627,0.1800713698
12023,0.6365175471,1,0.1282549553,0.1112848987
12027,0.4895808806,1,0.1339614912,0.1108437733
12029,1,0,0.1507413509,0.0722808231
12031,0.0265075078,0,0.1693367096,0.166131961
12033,0.07626163,0,0.1421743845,0.1438388055
12035,0.0765310544,1,0.1364036052,0.1396663954
12037,1,0,0.1513157895,0.1009114583
12039,0.8051156848,0,0.1217501585,0.1550088333
12041,1,0,0.1141141141,0.0828967643
12043,0.8269008742,0,0.1673960613,0.1244131455
12045,1,0,0.1539855072,0.109352518
12047,1,0,0.1627078385,0.1444362564
12049,0.6134559956,0,0.1681195517,0.1390532544
12051,0.3600040385,0,0.2148985959,0.1172172098
12053,0.2005809321,0,0.132239877,0.1170178697
12055,0.1987652492,1,0.1207504264,0.1180977423
12057,0.0367231097,0,0.1847218671,0.1716227314
12059,1,0,0.1129378127,0.0879004099
12061,0.0724272161,0,0.139408284,0.1484336338
12063,0.8824996302,1,0.1230723606,0.1143431551
12065,1,0,0.0889712697,0.1262955854
12067,1,0,0.1569416499,0.1219614417
12069,0.1793174218,1,0.1361948413,0.1327079888
12071,0.0392798841,1,0.1735742178,0.1653790478
12073,0.1343746364,0,0.1968982367,0.1940298507
12075,1,0,0.1208695652,0.0977279433
12077,1,0,0.0986842105,0.1208881579
12079,1,0,0.1560559006,0.1292888334
12081,0.0469140127,0,0.1625227993,0.1493111474
12083,0.2934521213,0,0.1433589608,0.1333758069
12085,0.0732243058,0,0.1579186205,0.1589166629
12086,0.0086354597,1,0.2921984301,0.2513858802
12087,0.1311267708,0,0.2452073116,0.2301227602
12089,0.4376992208,0,0.1157394062,0.1128514814
12091,0.1064119281,0,0.1445864156,0.1319370071
12093,0.3644687721,1,0.1639067252,0.1370888733
12095,0.0234770349,0,0.2033179743,0.1853554312
12097,0.0630557614,1,0.2188280151,0.2041383498
12099,0.0084881895,1,0.2152567456,0.201096389
12101,0.072448215,0,0.1421866372,0.1400826612
12103,0.001904897,0,0.1717100041,0.170454214
12105,0.108846887,1,0.1694644127,0.1509691868
