fips,k10,rucc,pct_growth_2020_24,sus_water,sus_power,sus_land,med_water,D_operating,D_queued,D,rco_water,rco_power,rco_land,rco_max,rco_sum,dominant_channel
51179,1,1,7.1,0.156929002136845,0.138884091803682,0.172826862191877,0,0,0,0,0,0,0,0,0,water
51181,2,1,0.4,0.464015629179712,0.392529383907098,0.441106002416242,0,0,0,0,0,0,0,0,0,water
51183,2,1,-0.4,0.433745134563308,0.369995455661378,0.472123248894765,0,0,0,0,0,0,0,0,0,water
51185,4,7,-3.8,0.274387345157127,0.47383906995299,0.28713708389465,0,0,0,0,0,0,0,0,0,water
51187,1,1,4.1,0.334014656318839,0.338853395757633,0.311346319375009,0,0,0,0,0,0,0,0,0,water
51193,2,8,3.9,0.432699652285923,0.469610302533299,0.413932430838059,0,0,0,0,0,0,0,0,0,water
51197,4,6,-0.8,0.670050513431426,0.432855069759555,0.362287171392927,0,0,0,0,0,0,0,0,0,water
51510,5,1,0,0.257282582543145,0.271140384266021,0.110817900070975,0,0,0,0,0,0,0,0,0,water
51550,1,1,2.1,0.242098806315245,0.309248725155278,0.1370706067951,0,0,0,0,0,0,0,0,0,water
51650,2,1,0.2,0.278204742884907,0.435416661157709,0.111870291170975,0,0,0,0,0,0,0,0,0,water
51700,2,1,-1.6,0.282877479518228,0.429867311273897,0.112063557704308,0,0,0,0,0,0,0,0,0,water
51710,2,1,-2.8,0.296441093958893,0.460479053968254,0.110817900070975,0,0,0,0,0,0,0,0,0,water
51740,2,1,-1.5,0.315043395804029,0.500401561156195,0.110817900070975,0,0,0,0,0,0,0,0,0,water
51760,5,1,3,0.31774377824506,0.492785703760081,0.110895279757484,0,0,0,0,0,0,0,0,0,water
51770,2,2,-2,0.257723012120106,0.497692693388832,0.110831231937641,0,0,0,0,0,0,0,0,0,water
51800,1,1,8.8,0.343566925432935,0.33386610585519,0.201311838621993,0,0,0,0,0,0,0,0,0,water
51810,1,1,-1.1,0.216980926708593,0.331711598477903,0.116796448676483,0,0,0,0,0,0,0,0,0,water
53001,7,6,2.1,0.349348236831067,0.403425992155414,0.277460712251386,0,0,0,0,0,0,0,0,0,water
53003,7,3,0.9,0.131049113046342,0.421044656287162,0.140067679049728,0,0,0,0,0,0,0,0,0,water
53005,7,2,5.2,0.493634956677497,0.313620877952737,0.19686427344916,0,0,0,0,0,0,0,0,0,water
53007,7,3,2.4,0.250599507586694,0.344807770963934,0.219790703409458,0,0,0,0,0,0,0,0,0,water
53009,7,5,0.8,0.59496908766068,0.444247521152652,0.235187190812104,0,0,0,0,0,0,0,0,0,water
53011,7,1,4.3,0.199628995282611,0.306103526485565,0.155701206803912,0,0,0,0,0,0,0,0,0,water
53013,7,8,1.8,0.442324380564196,0.37697836054292,0.508591833786425,0,0,0,0,0,0,0,0,0,water
53015,7,3,2.7,0.27125877729016,0.399385064726967,0.220949794006196,0,0,0,0,0,0,0,0,0,water
53017,7,3,6.4,0.22143338619107,0.318670230145022,0.191787524167852,0,0,0,0,0,0,0,0,0,water
53019,7,8,4.8,0.828140027781695,0.467631743576194,0.451675394107414,0,0,0,0,0,0,0,0,0,water
53021,7,2,4.2,0.211225489901944,0.305756146316433,0.150259736959744,0,0,0,0,0,0,0,0,0,water
53023,7,8,4.7,0.755740893200294,0.419853621753451,0.484005438141839,0,0,0,0,0,0,0,0,0,water
53025,7,5,5.3,0.629340976332891,0.371470125765978,0.249720137816601,0,0,0,0,0,0,0,0,0,water
53027,7,4,2.7,0.599068456371993,0.419676359237034,0.242088983397231,0,0,0,0,0,0,0,0,0,water
53029,7,4,-0.6,0.64778876553048,0.377795041031653,0.270199765251652,0,0,0,0,0,0,0,0,0,water
53031,7,6,2.7,0.331614633995615,0.509502181014408,0.288353610526231,0,0,0,0,0,0,0,0,0,water
53033,7,1,2.9,0.522242156653371,0.25522758714386,0.122750497773516,0,0,0,0,0,0,0,0,0,water
53035,7,2,2,0.198229320937492,0.310290547564992,0.170205754532509,0,0,0,0,0,0,0,0,0,water
53037,7,4,2.9,0.360019917861372,0.454658084743418,0.253109731692665,0,0,0,0,0,0,0,0,0,water
53039,7,9,5.7,0.413021255511171,0.410045357468479,0.375128183400133,0,0,0,0,0,0,0,0,0,water
53041,7,4,5.4,0.350590527925343,0.405288647613936,0.337395987130596,0,0,0,0,0,0,0,0,0,water
53043,7,8,8.6,0.43783533791022,0.371933717187792,0.502622013043459,0,0,0,0,0,0,0,0,0,water
53045,7,4,5.5,0.381737044302393,0.399187512788304,0.34260741619525,0,0,0,0,0,0,0,0,0,water
53047,7,6,6.6,0.418197188748548,0.467620003120318,0.374583595581841,0,0,0,0,0,0,0,0,0,water
53049,7,7,3.2,0.340871216908389,0.444568355927618,0.321258925288927,0,0,0,0,0,0,0,0,0,water
53051,7,8,6.1,0.464228752789799,0.409775958075383,0.445608140250039,0,0,0,0,0,0,0,0,0,water
53053,7,1,1.9,0.517066648665453,0.311948787021015,0.135559502064461,0,0,0,0,0,0,0,0,0,water
53055,7,9,4.7,0.801135924139561,0.463374407041169,0.386417499678345,0,0,0,0,0,0,0,0,0,water
53057,7,3,2.2,0.272332127514753,0.378703966808404,0.25416602138964,0,0,0,0,0,0,0,0,0,water
53059,7,1,5.1,0.473106387244398,0.350896535313186,0.443978494004386,0,0,0,0,0,0,0,0,0,water
53061,7,1,4.1,0.197594978526382,0.279792443051639,0.154085885093069,0,0,0,0,0,0,0,0,0,water
53063,7,2,2.7,0.194838626060918,0.38265504567776,0.163827363556065,0,0,0,0,0,0,0,0,0,water
53065,7,2,5.2,0.769398468016189,0.403638411243629,0.409111846263421,0,0,0,0,0,0,0,0,0,water
53067,7,2,2.3,0.555725586651163,0.341044668003984,0.182279716114885,0,0,0,0,0,0,0,0,0,water
53071,7,3,-0.9,0.554952064306492,0.390786900772103,0.173594794387112,0,0,0,0,0,0,0,0,0,water
53073,7,3,3.3,0.620309449866892,0.408942287802846,0.20618567275614,0,0,0,0,0,0,0,0,0,water
53075,5,4,1.2,0.362866708660775,0.560587380640628,0.220646056646587,0,0,0,0,0,0,0,0,0,water
53077,7,2,0.7,0.632978846314372,0.384572318371239,0.37863515955164,0,0,0,0,0,0,0,0,0,water
54001,4,9,-0.6,0.420661910823915,0.457384115981605,0.44378011732504,0,0,0,0,0,0,0,0,0,water
54003,1,2,11.1,0.553613255935543,0.327231835640365,0.219084950180913,0,0,0,0,0,0,0,0,0,water
54005,4,3,-5.7,0.423855798141427,0.422874064537489,0.444120682808124,0,0,0,0,0,0,0,0,0,water
54007,4,8,-2.8,0.404296603651316,0.442468138244954,0.445916300424682,0,0,0,0,0,0,0,0,0,water
54009,10,3,-5.3,0.205667520681305,0.386473298447887,0.249445981233767,0,0,0,0,0,0,0,0,0,water
54011,10,2,-2.9,0.221892882617675,0.492094725562831,0.184264439735146,0,0,0,0,0,0,0,0,0,water
54013,4,8,-5.2,0.72241792534349,0.514556540017068,0.44317000493479,0,0,0,0,0,0,0,0,0,water
54015,4,3,-4,0.446447395422813,0.535000744635254,0.444339177967237,0,0,0,0,0,0,0,0,0,water
54017,4,9,-2.2,0.375470477060955,0.35258462873352,0.441159279943758,0,0,0,0,0,0,0,0,0,water
54019,4,3,-4.6,0.643718758926908,0.447433960580142,0.323889589673119,0,0,0,0,0,0,0,0,0,water
54021,4,9,-3.8,0.404699810231714,0.340614854099948,0.442489177118801,0,0,0,0,0,0,0,0,0,water
