fips,h,f1,f2,f3,f4,f5,k6,k8,k10,rucc
44009,-35.9114961857175,-35.9114961857175,20.5384970987559,6.0020171013263,24.967952911654,-50.6467034721705,1,5,9,1
45001,64.923086428432,64.923086428432,-34.0563567062772,-13.1817760946055,-45.9816950615265,84.4938377724076,2,2,2,6
45003,-8.58011809970359,-8.58011809970359,5.53298669703753,1.64415553929047,4.69518565690071,-10.9201421794469,1,1,1,2
45005,27.9885484282561,27.9885484282561,-14.8229776922121,-5.18422904913325,-18.5232530740918,34.4782076512223,2,2,2,8
45007,25.2620376305366,25.2620376305366,-12.3011670444452,-4.86933701502897,-18.038090955629,33.5534008452233,1,1,1,2
45011,82.0217805561359,82.0217805561359,-45.6764691984288,-17.212361124854,-57.132483530379,108.723918300753,2,2,2,8
45013,5.98913958539558,5.98913958539558,-1.32863423445234,-0.216823376233691,-4.3021624075634,3.37946895345685,1,1,1,3
45015,54.5160257382943,54.5160257382943,-29.7060427726138,-10.9816138600093,-38.7004988786551,72.0517158078733,1,1,1,2
45017,64.3984518478671,64.3984518478671,-35.3587828643933,-12.9206693711426,-46.9355120451238,84.6174142607836,2,2,2,2
45019,-0.653402815424456,-0.653402815424456,0.183082694339114,-0.457357776443851,0.079500618545183,-1.78402553151713,1,1,1,2
45021,-3.45124314676064,-3.45124314676064,2.83177420387569,0.69216291283393,1.47961831507452,-3.46027172577462,1,1,1,6
45023,12.4173010705261,12.4173010705261,-5.92799800384135,-3.09803276752037,-10.5991989858907,18.0061909883137,2,2,2,1
45025,3.69916555884788,3.69916555884788,-1.32408117732096,-0.595352468702422,-4.35703897573409,6.851137686788,2,2,2,6
45029,31.6240426902849,31.6240426902849,-17.1016287341847,-6.51776353186191,-23.2018286281219,42.3209269285999,2,2,2,6
45031,-19.8084833375023,-19.8084833375023,10.6996785758233,3.2118573666465,12.6049834472855,-24.43294043626,2,2,2,3
45033,35.3577376413703,35.3577376413703,-19.5246759840648,-7.77016938603312,-25.0343254384041,49.0005606135649,2,2,2,6
45035,57.4581139289839,57.4581139289839,-31.1077120664165,-11.8308233244688,-40.7068966238719,75.7885166061117,1,1,1,2
45037,31.9761296888051,31.9761296888051,-17.3713307142253,-6.1202100733606,-23.2644336896597,41.3225441797018,2,2,2,2
45039,21.1741766319775,21.1741766319775,-12.1297856790659,-5.02669907896553,-15.9983371338532,28.4427274593785,2,2,2,2
45041,-52.7801420473939,-52.7801420473939,28.6813660377585,9.79237948420221,35.4787588145808,-67.5377244673992,2,2,2,3
45043,-63.8337315472689,-63.8337315472689,35.7910868038193,12.8128335133713,42.6531406240987,-85.552487232335,1,1,1,4
45045,20.1893593426171,20.1893593426171,-10.2470848492306,-3.62969067525834,-14.0546932661633,26.210159909288,1,5,5,2
45047,-26.393870473281,-26.393870473281,15.6040490222147,5.20294313740025,18.0849538809461,-34.0844896933856,2,3,3,4
45049,1.7732205811719,1.7732205811719,-2.01103740846656,-0.61208001462092,-2.67714006650598,4.31531373161155,2,2,2,8
45051,71.9596110789182,71.9596110789182,-36.4175446258995,-13.5042750120329,-49.2397204803385,91.8090395602,1,1,1,2
