fips,cropland_acres,land_area_acres,cropland_share_of_land
17057,293076,554037.405021522,0.528982334664959
17059,160484,206682.31316264,0.77647669771198
17061,241424,347612.183015434,0.694521112308888
17063,182204,267601.627020509,0.680877773534747
17065,190878,278174.331226737,0.686181212904282
17067,338568,507998.92448228,0.66647385197724
17069,19444,113528.883947641,0.171269190041254
17071,162550,242427.378375686,0.670510076415952
17073,414221,526759.312776818,0.78635724125394
17075,637185,715132.779979467,0.891002367446078
17077,240838,373484.857228066,0.644840066040305
17079,214489,316552.771056403,0.677577388705855
17081,188580,365590.063935486,0.515823646764311
17083,128255,236515.315663913,0.54226932255943
17085,207282,384591.196871411,0.538967094635047
17087,51338,219991.342511952,0.233363728834969
17089,138648,332392.671015294,0.417121110331643
17091,309237,432953.672136575,0.714249629698143
17093,124123,204952.061516447,0.605619670676204
17095,371828,458486.456110012,0.810990150406496
17097,23275,283907.413287103,0.0819809519255597
17099,574703,726488.232735033,0.791069936310459
17101,175502,238194.297885656,0.73680185276412
17103,347472,463851.908375322,0.749101154325415
17105,579188,667921.860762942,0.867149338903828
17107,358401,395553.508425282,0.906074633054861
17109,231793,377166.729381809,0.614563751102643
17111,165895,386173.886079864,0.429586271832196
17113,575956,757278.480709912,0.760560368043298
17115,251582,371550.87732656,0.677113190554741
17117,387530,552303.037835209,0.701661901985822
17119,238664,457929.889787749,0.521180218462309
17121,199322,366424.074743217,0.543965349819552
17123,185426,247566.308891128,0.748995292738096
17125,289571,345185.175739597,0.83888596716114
17127,101201,151776.654451834,0.666775798725463
17129,131093,201210.337721267,0.651522190582478
17131,218545,359193.466120012,0.608432559647343
17133,168292,246592.398630627,0.682470347563658
17135,340250,450410.174293513,0.755422544647656
17137,249580,364133.452340316,0.685408051350209
17139,183224,215013.155035273,0.852152511179804
17141,325320,485538.289524973,0.670019248777016
17143,226052,395964.858081187,0.570889045799239
17145,143672,282833.67665347,0.507973455282795
17147,223408,281080.416036831,0.794818803636345
17149,341442,532065.014219686,0.641729846681896
17151,42018,236075.100640032,0.177985733718141
17153,85594,127531.239103909,0.671161047296499
17155,39225,102462.076964464,0.382824564581138
