fips,cropland_acres,land_area_acres,cropland_share_of_land
08059,7813,489205.26616635,0.0159708010938363
08061,697802,1131397.5835665,0.61676108393331
08063,893957,1382925.74662199,0.64642443904427
08065,1366,241228.193011964,0.00566268802557523
08067,76417,1081396.22609371,0.0706651254702805
08069,100176,1661277.80394612,0.0603005708991277
08071,54897,3054680.3084499,0.0179714387290032
08073,614900,1649747.07291907,0.372723801177591
08075,558940,1176703.34723,0.475005022562199
08077,57663,2130381.49759412,0.0270669831037867
08079,6275,560486.667665533,0.0111956275893873
08081,93748,3035675.72369891,0.0308820864060441
08083,92081,1298783.41593009,0.0708978871077275
08085,68131,1434205.45312678,0.0475043515219277
08087,259031,819510.537703552,0.316080133302326
08089,76011,807645.233898001,0.0941143422999504
08091,13529,346029.726333144,0.0390977970111585
08093,10261,1403846.5906063,0.007309203205436
08095,391660,440273.829278801,0.889582741362497
08097,7430,621248.849929783,0.0119597806914891
08099,378200,1048580.51807554,0.360678072385046
08101,106748,1527418.36505488,0.0698878594380163
08103,43637,2061421.04574125,0.0211684071481423
08105,99839,583652.057794983,0.171059107333894
08107,143204,1511692.57168909,0.0947309014292444
08109,129699,2027882.09610317,0.0639578603949572
08113,13086,823504.034206169,0.0158906325366268
08115,200975,350746.07650022,0.572992867105882
08117,2598,389330.149273476,0.00667299977884604
08119,2043,356570.143008975,0.00572958796482457
08121,840813,1611573.55338107,0.521734176039299
08123,875694,2550373.06126288,0.34335917882005
08125,648661,1513215.04502277,0.428664122877683
09001,2846,,
09003,24294,,
09005,33409,,
09007,6154,,
09009,10577,,
09011,24070,,
09013,15765,,
09015,22443,,
10001,156461,375079.057099377,0.41714139203071
10003,62613,272855.476364439,0.229473129270717
10005,206899,599133.12713433,0.345330596205894
12001,72230,560413.000115138,0.128887088602799
12003,5038,374547.255431292,0.0134509061992691
12005,5413,485502.944559697,0.0111492629666933
12007,15822,188138.262911008,0.0840977255513622
12009,19059,649580.723318867,0.029340464265354
12011,2966,769861.938235575,0.00385263883391572
12013,30676,363095.311731027,0.0844847041779602
12015,21339,435915.335147647,0.0489521663484776
12017,9885,372423.929054752,0.0265423331553617
12019,1605,386942.537514321,0.00414790271007771
12021,86169,1277982.40644161,0.0674258108450237
12023,31227,510321.31277612,0.0611908599900068
12027,75001,407484.627760641,0.184058477033043
12029,8355,451222.083748863,0.0185163809594261
12031,2008,488075.023203927,0.00411412160945802
12033,51343,420476.171915653,0.12210680040699
12035,16231,311162.422182641,0.05216246835382
12037,89,348799.091936722,0.000255161214743489
12039,15125,330480.041760023,0.0457667577123553
12041,62554,223804.720195778,0.279502594696303
12043,42430,516366.070336173,0.082170387323041
12045,1444,354214.92034053,0.00407662104863282
12047,32513,329148.951049712,0.098778987131238
12049,82558,408044.377788632,0.202326032397303
12051,290667,739807.91158495,0.392895230570434
12053,23916,302697.952391809,0.0790094541803949
12055,80896,651302.215079303,0.12420654824604
12057,69061,654401.056665794,0.105533142553084
12059,30010,306468.225507183,0.0979220601102629
12061,41654,321617.558590697,0.129514073120027
12063,126158,587667.344050096,0.214675872799979
12065,41701,382770.834047246,0.108945082254759
12067,41646,347740.604670361,0.11976168281952
12069,47958,609363.215776116,0.0787018296450965
12071,34192,499856.871367837,0.0684035810219735
12073,12237,427793.752737177,0.0286049058026288
12075,70837,715682.463181342,0.0989782531279533
12077,625,534760.53139173,0.00116874743611579
12079,59327,445778.474028386,0.133086282663847
12081,76790,475367.509881208,0.161538174998938
12083,50315,1016590.1783544,0.0494938875776342
12085,46492,348046.295524826,0.133579930594847
