fips,name,rural_raw_value,cropland_share_of_land,gcd_funding,pgma,moratorium,dist_km,land_score,permissive_score,infra_score,siting_risk,is_lit,is_peer
48057,Calhoun,0.400427733,0.095991224209559,0,0,0,192.664600517795,0.381208958850936,1,0.14563584210973,0.352638802202949,FALSE,FALSE
48059,Callahan,1,0.127853077252324,0,0,0,48.5835566110889,0.936073461373838,1,0.615182955923128,0.825590391640274,FALSE,FALSE
48061,Cameron,0.1758147533,0.295845234243563,0,0,0,379.989281717591,0.149807774863244,1,0.0223731697471742,0.186123518554575,FALSE,FALSE
48063,Camp,1,0.109771386565553,0,0,0,150.609469603738,0.945114306717224,1,0.22177438535989,0.663466246695502,FALSE,FALSE
48065,Carson,1,0.581689170919464,0,0,0,114.707152766735,0.709155414540268,1,0.317565390454592,0.587458564082448,FALSE,FALSE
48067,Cass,0.8056160821,0.0528094426181673,0,0,0,207.971780084472,0.784344013970034,1,0.124965472373895,0.543046713825606,FALSE,FALSE
48069,Castro,1,0.681929955983408,0,0,0,64.7963521410908,0.659035022008296,1,0.523109995069017,0.649736348930688,FALSE,FALSE
48071,Chambers,0.5410663288,0.243687207250613,0,0,0,71.9108176459085,0.475140857498693,1,0.487186546707002,0.543675144924563,FALSE,FALSE
48073,Cherokee,0.7246488931,0.111020899981242,0,0,0,94.1214451934541,0.684423306958814,1,0.390153724578833,0.60597800769511,FALSE,FALSE
48075,Childress,0.3223289316,0.268575350253039,2,0,0,0,0.279044128749421,0,1,0.16992042071478,TRUE,FALSE
48077,Clay,1,0.167907685043229,0,0,0,119.966453277231,0.916046157478385,1,0.3012952696493,0.682779173964048,FALSE,FALSE
48079,Cochran,1,0.581653991324415,0,0,0,106.051476767795,0.709173004337793,1,0.346277511972114,0.599625528520556,FALSE,FALSE
48081,Coke,1,0.0756375407008094,0,0,0,47.3235303734562,0.962181229649595,1,0.622983463594125,0.841791575655019,FALSE,FALSE
48083,Coleman,0.5316241541,0.179650193899992,0,0,0,72.1075267002325,0.483870962917008,1,0.486229148611267,0.547582665747224,FALSE,FALSE
48085,Collin,0.0614956809,0.173313708293815,0,0,0,0,0.0561666586495839,1,1,0.553842379079321,TRUE,FALSE
48087,Collingsworth,1,0.232762042282617,0,0,0,48.6549757273467,0.883618978858691,1,0.614743754548178,0.799490314126361,FALSE,FALSE
