fips,k10,rucc,pct_growth_2020_24,sus_water,sus_power,sus_land,med_water,D_operating,D_queued,D,rco_water,rco_power,rco_land,rco_max,rco_sum,dominant_channel
13085,1,1,24.7,0.326955668354843,0.284129130676663,0.34683938020291,0,0,0,0,0,0,0,0,0,water
13097,1,1,5,0.197211711893632,0.325621158840664,0.162423750133592,0,0,0,0,0,0,0,0,0,water
13103,1,2,12.2,0.338590319343334,0.257196018593148,0.358821757466368,0,0,0,0,0,0,0,0,0,water
13111,1,8,1.6,0.463396974049784,0.460073176411811,0.446314141360451,0,0,0,0,0,0,0,0,0,water
13113,1,1,4.7,0.187331828658613,0.268087753987665,0.17125652866293,0,0,0,0,0,0,0,0,0,water
13117,1,1,10.7,0.113797442430324,0.142460597486254,0.137577971232492,0,0,0,0,0,0,0,0,0,water
13119,1,8,7.4,0.788571479626854,0.45599117038999,0.497486998574301,0,0,0,0,0,0,0,0,0,water
13123,1,6,6.1,0.394244059593082,0.402243682591117,0.390925399296718,0,0,0,0,0,0,0,0,0,water
13127,1,3,2.4,0.203739617755249,0.436496595079026,0.172914058809702,0,0,0,0,0,0,0,0,0,water
13129,1,4,5.3,0.346842759098484,0.369533474920011,0.326111576715463,0,0,0,0,0,0,0,0,0,water
13133,1,8,10.8,0.783321421656157,0.370074511368235,0.449251712615533,0,0,0,0,0,0,0,0,0,water
13135,1,1,4.7,0.17158467897013,0.349195018381257,0.112570542983998,0,0,0,0,0,0,0,0,0,water
13137,1,6,7.6,0.314268813794642,0.383733319481527,0.317957526149862,0,0,0,0,0,0,0,0,0,water
13139,1,3,9,0.251373468796363,0.36059730003163,0.197846749539466,0,0,0,0,0,0,0,0,0,water
13143,1,1,7.9,0.703777215782638,0.383675534648088,0.366874379928403,0,0,0,0,0,0,0,0,0,water
13145,1,2,5.8,0.421837155084132,0.289593952349816,0.437342409189135,0,0,0,0,0,0,0,0,0,water
13147,1,6,8.4,0.721255173742866,0.403797290601951,0.403414835790074,0,0,0,0,0,0,0,0,0,water
13151,1,1,7.2,0.17508038134476,0.315903341511724,0.17357893553626,0,0,0,0,0,0,0,0,0,water
13153,1,3,6.4,0.48310004123336,0.313095560184879,0.140822618933441,0,0,0,0,0,0,0,0,0,water
13157,1,4,22.3,0.649880233717417,0.29216092142374,0.323567963202616,0,0,0,0,0,0,0,0,0,water
13159,1,1,17.4,0.458827295975212,0.409728879808006,0.464967673110057,0,0,0,0,0,0,0,0,0,water
13169,1,3,2.3,0.404041797834287,0.356905924802461,0.396185373564239,0,0,0,0,0,0,0,0,0,water
13171,1,6,11.5,0.649137637479511,0.327799881385524,0.328016109561066,0,0,0,0,0,0,0,0,0,water
13177,1,3,2.6,0.300755611167337,0.289087548325431,0.321239075835598,0,0,0,0,0,0,0,0,0,water
13187,1,1,7.1,0.397863781675586,0.39815163213181,0.380412806258865,0,0,0,0,0,0,0,0,0,water
13207,1,3,12,0.379717066598152,0.306445256269452,0.385886542261378,0,0,0,0,0,0,0,0,0,water
13211,1,1,8.6,0.384142457293898,0.308729447674851,0.381136809305968,0,0,0,0,0,0,0,0,0,water
13213,1,3,3.3,0.314582204182809,0.326408572055245,0.354515050236093,0,0,0,0,0,0,0,0,0,water
13217,1,1,9.8,0.611154951687925,0.37647138286421,0.225214140073057,0,0,0,0,0,0,0,0,0,water
13219,1,3,6.5,0.240807322688043,0.179864063704563,0.291695597427128,0,0,0,0,0,0,0,0,0,water
13221,1,3,8.8,0.800757833560042,0.354835178633716,0.508718799997154,0,0,0,0,0,0,0,0,0,water
13223,1,1,11.2,0.159816395247588,0.226141122567998,0.179131910975759,0,0,0,0,0,0,0,0,0,water
13227,1,1,9.7,0.382375437241123,0.375388103785122,0.383008166628092,0,0,0,0,0,0,0,0,0,water
13229,1,8,4.7,0.401614751842086,0.367869065437884,0.440942896190596,0,0,0,0,0,0,0,0,0,water
13231,1,1,9.1,0.414523429359307,0.305064222505798,0.444021833784163,0,0,0,0,0,0,0,0,0,water
13233,1,4,3.9,0.326586716183325,0.453464999863511,0.288132117034592,0,0,0,0,0,0,0,0,0,water
13237,1,8,5.5,0.490537444538847,0.488095016554095,0.465525320842952,0,0,0,0,0,0,0,0,0,water
13241,1,9,4.7,0.819070270540538,0.470805198802429,0.443749119222383,0,0,0,0,0,0,0,0,0,water
13247,1,1,4.3,0.204694350263995,0.385653576507385,0.156523693588324,0,0,0,0,0,0,0,0,0,water
13257,1,7,2.5,0.304362212409558,0.435027254243094,0.304408101125862,0,0,0,0,0,0,0,0,0,water
13281,1,9,5,0.482815611720606,0.523906239457276,0.443229095544791,0,0,0,0,0,0,0,0,0,water
13291,1,8,11.3,0.487768183708106,0.443201158457141,0.4457744632159,0,0,0,0,0,0,0,0,0,water
13295,1,2,2.4,0.273753248650973,0.38836326196133,0.287218504351281,0,0,0,0,0,0,0,0,0,water
13297,1,1,13,0.312788620812932,0.336706726175982,0.306869889941649,0,0,0,0,0,0,0,0,0,water
13311,1,8,5.5,0.427636740168886,0.372875075565333,0.466647096579894,0,0,0,0,0,0,0,0,0,water
13313,1,3,2.2,0.261075875516007,0.351795387636337,0.228758625196525,0,0,0,0,0,0,0,0,0,water
17007,1,2,0,0.231139836124546,0.327906670249502,0.208680320664944,0,0,0,0,0,0,0,0,0,water
17063,1,1,2.5,0.19380040640664,0.276954471449722,0.197673753843768,0,0,0,0,0,0,0,0,0,water
17089,1,1,0.9,0.158737044662278,0.279409906004167,0.125965674254055,0,0,0,0,0,0,0,0,0,water
17091,1,3,-0.9,0.577834402509013,0.393400129074699,0.213438298730916,0,0,0,0,0,0,0,0,0,water
17093,1,1,8.2,0.141028433717715,0.194002867750596,0.151431507178508,0,0,0,0,0,0,0,0,0,water
17111,1,1,1.9,0.486759337943837,0.251851790148312,0.162107632272789,0,0,0,0,0,0,0,0,0,water
17119,1,1,-1,0.505833435464257,0.351463385609821,0.167051733135948,0,0,0,0,0,0,0,0,0,water
17143,1,2,-1,0.200296190599217,0.419955204629026,0.168726967183762,0,0,0,0,0,0,0,0,0,water
17161,1,2,-1.1,0.498265941398707,0.405980548898901,0.150875607333724,0,0,0,0,0,0,0,0,0,water
17163,1,1,-2.3,0.175301758831936,0.385740502858327,0.160812629032135,0,0,0,0,0,0,0,0,0,water
17167,1,3,-1,0.521365563417725,0.369232661899245,0.176989097106035,0,0,0,0,0,0,0,0,0,water
17179,1,2,-1.1,0.499776226729548,0.329715719944422,0.185673901165667,0,0,0,0,0,0,0,0,0,water
17197,1,1,1.7,0.469757572432151,0.244616513820888,0.127958526561523,0,0,0,0,0,0,0,0,0,water
17201,1,2,-0.4,0.50662280370914,0.42344442299837,0.144088251446609,0,0,0,0,0,0,0,0,0,water
18003,1,2,3.4,0.14884051987867,0.352228012206452,0.155036950104282,0,0,0,0,0,0,0,0,0,water
18005,1,3,3.1,0.207666035287341,0.334496814807301,0.214111015838161,0,0,0,0,0,0,0,0,0,water
18011,1,1,10.7,0.505820319439995,0.221132860029225,0.204578178962893,0,0,0,0,0,0,0,0,0,water
18039,1,3,0.2,0.194917357465972,0.36816012745896,0.192692847837764,0,0,0,0,0,0,0,0,0,water
18043,1,1,1.8,0.191315091228974,0.310892070930061,0.224299597585171,0,0,0,0,0,0,0,0,0,water
18057,1,1,8.8,0.427635226014632,0.17953007855112,0.133537257902317,0,0,0,0,0,0,0,0,0,water
18059,1,1,10.8,0.155296409850292,0.237505807382456,0.206914018154154,0,0,0,0,0,0,0,0,0,water
18063,1,1,8.5,0.128592539273005,0.220065085438681,0.163152864427319,0,0,0,0,0,0,0,0,0,water
18081,1,1,5.1,0.133868221157857,0.286081116361889,0.153441373391593,0,0,0,0,0,0,0,0,0,water
18085,1,4,0.6,0.590510818470481,0.328137201437305,0.279118870714254,0,0,0,0,0,0,0,0,0,water
18089,1,1,0.8,0.490104354955718,0.402612303931137,0.127017889787016,0,0,0,0,0,0,0,0,0,water
18127,1,1,1.5,0.189678197892485,0.313752475586954,0.189647811996193,0,0,0,0,0,0,0,0,0,water
18141,1,2,0.4,0.158668318605628,0.392894417652593,0.144477277519753,0,0,0,0,0,0,0,0,0,water
18173,1,2,3.7,0.495614940531778,0.258347530588061,0.202534195920527,0,0,0,0,0,0,0,0,0,water
19049,1,2,14.7,0.149760223049943,0.206282063492602,0.183183933694559,0,0,0,0,0,0,0,0,0,water
19113,1,2,0.6,0.143592432067041,0.326590050549348,0.15779391725552,0,0,0,0,0,0,0,0,0,water
19163,1,2,0.6,0.155861667071019,0.33969313607274,0.156794192694307,0,0,0,0,0,0,0,0,0,water
20015,1,2,2.6,0.596007771252353,0.298882611799652,0.27073017013327,0,0,0,0,0,0,0,0,0,water
20091,1,1,3.5,0.108889989712113,0.233011070053687,0.124593611505514,0,0,0,0,0,0,0,0,0,water
20103,1,1,3.3,0.206335717054229,0.292239113025515,0.220998864442192,0,0,0,0,0,0,0,0,0,water
21015,1,1,5.6,0.119169370305102,0.244062580646434,0.149057331597535,0,0,0,0,0,0,0,0,0,water
21037,1,1,0.9,0.199764306575514,0.358890776055563,0.167851655612517,0,0,0,0,0,0,0,0,0,water
21113,1,2,6.6,0.559834261476286,0.350253855054613,0.202250353859326,0,0,0,0,0,0,0,0,0,water
21117,1,1,3.3,0.134202759478493,0.324813783715503,0.133183333088844,0,0,0,0,0,0,0,0,0,water
21185,1,1,4.2,0.14911292505423,0.155897317621802,0.194763076203849,0,0,0,0,0,0,0,0,0,water
21209,1,2,7.2,0.189493994928182,0.27500781538363,0.218002429120434,0,0,0,0,0,0,0,0,0,water
21211,1,1,3.9,0.274775305845792,0.303073590356499,0.289603441042974,0,0,0,0,0,0,0,0,0,water
21215,1,1,6.8,0.410791693706191,0.235759667553124,0.443724822930183,0,0,0,0,0,0,0,0,0,water
21219,1,8,3.9,0.460546383558081,0.425011337092408,0.45720548836226,0,0,0,0,0,0,0,0,0,water
21239,1,2,3.1,0.203372362680232,0.319420865686591,0.287884947966134,0,0,0,0,0,0,0,0,0,water
22005,1,2,5.2,0.477395454591773,0.270874182460083,0.147613860641125,0,0,0,0,0,0,0,0,0,water
22063,1,2,7,0.561936491473281,0.313782703161409,0.242055911152801,0,0,0,0,0,0,0,0,0,water
22103,1,2,4.8,0.538937754291607,0.364204682223333,0.18804645533802,0,0,0,0,0,0,0,0,0,water
24003,1,1,1.5,0.141400712237095,0.214593123158459,0.136279126867963,0,0,0,0,0,0,0,0,0,water
24009,1,3,2.1,0.294070442276422,0.172983394371481,0.317718291995732,0,0,0,0,0,0,0,0,0,water
24011,1,6,2.9,0.434854307541853,0.40612972516311,0.432773569091527,0,0,0,0,0,0,0,0,0,water
24013,1,1,2.4,0.2290155118898,0.217482609931782,0.252998694378252,0,0,0,0,0,0,0,0,0,water
24015,1,1,2.4,0.621264708156052,0.319745869169034,0.287538437109887,0,0,0,0,0,0,0,0,0,water
24017,1,1,4.7,0.231228656519479,0.228728470675183,0.205373594071624,0,0,0,0,0,0,0,0,0,water
24019,1,6,1.9,0.324427777646575,0.459781781358917,0.301968102690068,0,0,0,0,0,0,0,0,0,water
24021,1,1,9.7,0.203206176490188,0.212585445555721,0.204985030404377,0,0,0,0,0,0,0,0,0,water
24023,1,8,-1.4,0.383648519198233,0.357504329765446,0.400985930485775,0,0,0,0,0,0,0,0,0,water
24025,1,1,1.6,0.517046467819783,0.24819820933767,0.181244459089443,0,0,0,0,0,0,0,0,0,water
24029,1,6,2.3,0.367524680444161,0.41842822603469,0.345058332804694,0,0,0,0,0,0,0,0,0,water
24035,1,1,7.3,0.315335387506773,0.272394559502384,0.309476985804922,0,0,0,0,0,0,0,0,0,water
24037,1,3,2.2,0.649664975554888,0.228061011658129,0.299827536624188,0,0,0,0,0,0,0,0,0,water
24041,1,6,1.9,0.316059640993748,0.436507940538775,0.284715336258992,0,0,0,0,0,0,0,0,0,water
24043,1,2,1.6,0.239132600293451,0.375672755141838,0.219474230837811,0,0,0,0,0,0,0,0,0,water
24045,1,3,2.7,0.58086864717659,0.396819388891189,0.205140345001378,0,0,0,0,0,0,0,0,0,water
24047,1,4,3.5,0.299768886508708,0.392292969229681,0.251541798194499,0,0,0,0,0,0,0,0,0,water
26021,1,3,-1.1,0.576276726127294,0.433030240868402,0.224769938936401,0,0,0,0,0,0,0,0,0,water
26037,1,2,1.1,0.254023625272644,0.297146109845138,0.310920905137372,0,0,0,0,0,0,0,0,0,water
26045,1,2,0.3,0.222961887627601,0.32513342538457,0.243237487420873,0,0,0,0,0,0,0,0,0,water
26047,1,7,-0.5,0.304294390266621,0.365632553293796,0.325416285680648,0,0,0,0,0,0,0,0,0,water
26055,1,3,1.3,0.273292524241358,0.343610766227915,0.259102815901948,0,0,0,0,0,0,0,0,0,water
26081,1,1,2.2,0.504945257272277,0.320499466228384,0.169209009875718,0,0,0,0,0,0,0,0,0,water
26093,1,1,1.5,0.547973606406629,0.241970147771849,0.246562444121258,0,0,0,0,0,0,0,0,0,water
26099,1,1,0.7,0.145417554647584,0.355414519740037,0.124421813522311,0,0,0,0,0,0,0,0,0,water
26111,1,3,0.6,0.580541939003665,0.351102237470916,0.254828932054054,0,0,0,0,0,0,0,0,0,water
26139,1,1,3.1,0.503683626229284,0.287455176808508,0.199958157506825,0,0,0,0,0,0,0,0,0,water
27003,1,1,3.4,0.154264955893845,0.254733396325946,0.163941348011751,0,0,0,0,0,0,0,0,0,water
27019,1,1,5,0.161158880349068,0.167104932630592,0.195224616729095,0,0,0,0,0,0,0,0,0,water
27037,1,1,2.9,0.116865487358972,0.238915989650736,0.13147557039033,0,0,0,0,0,0,0,0,0,water
27139,1,1,3.9,0.488769240493013,0.169226964239269,0.172720950229322,0,0,0,0,0,0,0,0,0,water
27163,1,1,5.8,0.139374846402711,0.219287250368293,0.157049411536669,0,0,0,0,0,0,0,0,0,water
28033,1,1,5.2,0.194152202828542,0.313781644783713,0.183825729110948,0,0,0,0,0,0,0,0,0,water
28057,1,9,1.4,0.405144723789907,0.342697623452462,0.445274985632228,0,0,0,0,0,0,0,0,0,water
28073,1,3,3.6,0.299521786018826,0.369306846386397,0.295779822488262,0,0,0,0,0,0,0,0,0,water
28089,1,2,4.6,0.200735344075977,0.336088440262679,0.198285778900138,0,0,0,0,0,0,0,0,0,water
28117,1,7,2.1,0.319370607549964,0.375540861228847,0.364348019419299,0,0,0,0,0,0,0,0,0,water
28121,1,2,2.2,0.536353220573122,0.326129483227345,0.223218023511635,0,0,0,0,0,0,0,0,0,water
28137,1,1,1.5,0.393942238301859,0.392146556696082,0.363283667551821,0,0,0,0,0,0,0,0,0,water
28139,1,8,-1.4,0.465475081355797,0.438459987743614,0.447847483720159,0,0,0,0,0,0,0,0,0,water
28145,1,7,2,0.356758371430034,0.385751957536293,0.363330421334076,0,0,0,0,0,0,0,0,0,water
28155,1,9,1.4,0.419096013598533,0.364871264323013,0.448379813302221,0,0,0,0,0,0,0,0,0,water
29037,1,1,5.3,0.518689053562702,0.276257072130757,0.219125370665578,0,0,0,0,0,0,0,0,0,water
