site_id,name,operator,county_fips,lat,lon,status,status_date,mw,cooling,water_source,power_source,confidence,source_url,notes,assign_pattern
COMP-052,USBTC Pecos Data Center,"U.S. Data Lone Star, Inc.",48371,,,operating,04/01/2022,100,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=U.S. Data Lone Star, Inc.; occupant=U.S. Data Lone Star, Inc.; operator=U.S. Data Lone Star, Inc.; addr_guess=NA; verify county/MW",Pecos County|USBTC Pecos|Poolside.*Pecos
COMP-054,Whinstone US Data Center,Whinstone US Inc.,48331,,,operating,06/30/2020,750,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Whinstone US Inc.; occupant=Whinstone US Inc.; operator=Whinstone US Inc.; addr_guess=NA; verify county/MW,Milam County|Rockdale|Whinstone
COMP-055,Alamo Data Center,Google LLC,48029,,,operating,11/02/2022,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Alamo Mission LLC; occupant=Design LLC; operator=Google LLC; addr_guess=NA; verify county/MW,Alamo Data Center
COMP-056,Borden County Data Center,"Borden County DC, LLC",48033,,,operating,11/11/2025,20,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Borden County DC, LLC; occupant=Borden County DC, LLC; operator=Borden County DC, LLC; addr_guess=NA; verify county/MW",Borden County
COMP-058,C1 Bosque I,"Design, LLC",48035,,,operating,03/06/2026,30,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Bosque Parcel 2, LLC; occupant=Google, LLC; operator=Design, LLC; addr_guess=NA; verify county/MW",Bosque
COMP-059,C1 Bosque II LLC,C1 Bosque II LLC,48035,,,operating,04/13/2026,30,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=C1 Bosque II LLC; occupant=Amazon Data Services, Inc.; operator=C1 Bosque II LLC; addr_guess=NA; verify county/MW",Bosque
COMP-060,"Cedarvale, Barslow/Pyote TX Data Center","Nscale Ward County, LLC Ionic Digital Mining, LLC",48475,,,operating,03/16/2026,40,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Ionic Digital Cedarvale LLC; occupant=Nscale Ward County Borrower SPV, LLC; operator=Nscale Ward County, LLC Ionic Digital Mining, LLC; addr_guess=NA; verify county/MW",Pyote
COMP-061,Childress Data Center,IE US Development Holdings 3 Inc.,48075,,,operating,08/10/2022,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=IE US Development Holdings 3 Inc.; occupant=IE US Hardware 1 Inc.; operator=IE US Development Holdings 3 Inc.; addr_guess=NA; verify county/MW,Lancium Childress|Childress
COMP-062,Cinco Data Center,Google LLC,48201,,,operating,09/11/2025,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Rowan Cinco LLC; occupant=Design LLC; operator=Google LLC; addr_guess=NA; verify county/MW,Houston|Hockley|Katy|Cinco|Spring|Tomball|IAH\d*
COMP-063,Cipher Barber Lake LLC Data Center,Fluidstack USA II INC.,48335,,,operating,11/07/2025,100,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Cipher Barber Lake LLC; occupant=Anthropic, PBC; operator=Fluidstack USA II INC.; addr_guess=NA; verify county/MW",Barber Lake
COMP-064,Cipher Black Pearl LLC Data Center,"Amazon Data Services, Inc.",48201,,,operating,01/23/2026,100,unknown,unknown,unknown,med,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Cipher Black Pearl, LLC; occupant=Amazon Data Services, Inc.; operator=Amazon Data Services, Inc.; addr_guess=NA; verify county/MW",Cipher Black Pearl|Gulf Horizon|^SF HOU|Cutten
COMP-066,Cutten Data Center,"SF HOUC, LLC",48201,,,operating,10/10/2024,30,unknown,unknown,unknown,med,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=SF HOUC, LLC; occupant=SF HOUC, LLC; operator=SF HOUC, LLC; addr_guess=NA; verify county/MW",Cipher Black Pearl|Gulf Horizon|^SF HOU|Cutten
COMP-067,Cyrusone LLC - Houston West III Data Center,Cyrusone LLC,48201,,,operating,01/31/2022,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Cyrusone LLC; occupant=Paile LLC; operator=Cyrusone LLC; addr_guess=NA; verify county/MW,Houston|Hockley|Katy|Cinco|Spring|Tomball|IAH\d*
COMP-068,Denton Data Center,"Core Scientific, Inc. Coreweave, Inc.",48121,,,operating,09/19/2024,250,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=; occupant=Coreweave Compute Acquisition Co V LLC; operator=Core Scientific, Inc. Coreweave, Inc.; addr_guess=NA; verify county/MW",Denton Data Center|Denton County|Hackberry
COMP-069,DFW02 LANCASTER (STACK),"SI DFW02A, LLC Stack Infrastructure III TRC, LLC",48113,,,operating,10/31/2025,80,unknown,unknown,unknown,low,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=SI DFW02A, LLC; occupant=SI DFW02A, LLC; operator=SI DFW02A, LLC Stack Infrastructure III TRC, LLC; addr_guess=NA; verify county/MW",DFW\s*\d+|DFW\s*[IVX]+|Stream DFW
COMP-070,DFW-04 Data Center,"Lambda, Inc.",48085,,,operating,01/27/2026,40,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Aligned Data Centers (Plano) Propco, LLC; occupant=Lambda Procurement, LLC.; operator=Lambda, Inc.; addr_guess=NA; verify county/MW",Plano|Frisco|McKinney|Allen|Richardson|ALE\d+
COMP-071,ECX AUS11-16,"EdgeConnex MCN Austin Operations 5, LLC",48453,,,operating,04/24/2026,40,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=EdgeConnex MCN Austin Property 5, LLC; occupant=EdgeConnex MCN Austin Operations 5, LLC; operator=EdgeConnex MCN Austin Operations 5, LLC; addr_guess=NA; verify county/MW",Austin Data Center|AUS\d+|Tesla|Giga Texas|Pflugerville
COMP-072,EdgeConneX AU02,"DFW33220N Operations 1, LLC",48113,,,operating,07/11/2025,75,unknown,unknown,unknown,low,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=DFW33220N, LLC; occupant=Coreweave, Inc.; operator=DFW33220N Operations 1, LLC; addr_guess=NA; verify county/MW",DFW\s*\d+|DFW\s*[IVX]+|Stream DFW
COMP-074,Fluidstack Abernathy Data Center,FS AB LLC,48189,,,operating,01/20/2026,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=FS AB LLC; occupant=Anthropic, PBC; operator=FS AB LLC; addr_guess=NA; verify county/MW",Abernathy
COMP-075,Freestone Data Center,"Paile, LLC",48161,,,operating,03/24/2026,20,unknown,unknown,unknown,med,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=C1 Freestone 1, LLC; occupant=Paile, LLC; operator=Paile, LLC; addr_guess=NA; verify county/MW",Freestone Data Center|Freestone County
COMP-076,Giga Texas Datacenter,"Tesla, Inc.",48453,,,operating,04/10/2024,100,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Tesla, Inc.; occupant=Tesla, Inc.; operator=Tesla, Inc.; addr_guess=NA; verify county/MW",Austin Data Center|AUS\d+|Tesla|Giga Texas|Pflugerville
COMP-077,Gulf Horizon Data Center,"Amazon Data Services, Inc.",48201,,,operating,05/04/2026,30,unknown,unknown,unknown,med,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Amazon Data Services, Inc.; occupant=Amazon Data Services, Inc.; operator=Amazon Data Services, Inc.; addr_guess=NA; verify county/MW",Cipher Black Pearl|Gulf Horizon|^SF HOU|Cutten
COMP-079,Hockley Data Center,SF HOUH LLC,48201,,,operating,08/20/2024,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=SF HOUH LLC; occupant=SF HOUH LLC; operator=SF HOUH LLC; addr_guess=NA; verify county/MW,Houston|Hockley|Katy|Cinco|Spring|Tomball|IAH\d*
COMP-081,Hutto Data Center Campus LLC,Google LLC,48491,,,operating,03/10/2025,50,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Hutto Data Center Campus LLC; occupant=Design LLC; operator=Google LLC; addr_guess=NA; verify county/MW,Hutto
COMP-082,Lancium Abilene Clean Campus,"Lancium LLC Lancium Abilene, LLC",48441,,,operating,05/26/2022,200,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Lancium LLC Abilene DC 1, LLC; occupant=Oracle America, Inc.; operator=Lancium LLC Lancium Abilene, LLC; addr_guess=NA; verify county/MW",Lancium Abilene|Abilene Clean Campus|Abilene Data Center
COMP-083,Lancium Abilene Clean Campus II,"Lancium Abilene, LLC",48441,,,operating,04/17/2026,200,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Lancium Abilene, LLC; occupant=Lancium Abilene, LLC; operator=Lancium Abilene, LLC; addr_guess=NA; verify county/MW",Lancium Abilene|Abilene Clean Campus|Abilene Data Center
COMP-084,Lancium Abilene Clean Campus III,"Lancium LLC Lancium Abilene, LLC",48441,,,operating,01/28/2025,200,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Abilene DC 3 LLC; occupant=Oracle America, Inc.; operator=Lancium LLC Lancium Abilene, LLC; addr_guess=NA; verify county/MW",Lancium Abilene|Abilene Clean Campus|Abilene Data Center
COMP-085,Lancium Abilene Clean Campus IV,"Lancium LLC Lancium Abilene, LLC",48441,,,operating,03/16/2025,200,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Abilene DC 4, LLC; occupant=Oracle America, Inc.; operator=Lancium LLC Lancium Abilene, LLC; addr_guess=NA; verify county/MW",Lancium Abilene|Abilene Clean Campus|Abilene Data Center
COMP-086,Lancium Abilene Clean Campus V,"Lancium Abilene, LLC Lancium LLC",48441,,,operating,03/16/2025,200,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Abilene DC 5 LLC; occupant=Oracle America, Inc.; operator=Lancium Abilene, LLC Lancium LLC; addr_guess=NA; verify county/MW",Lancium Abilene|Abilene Clean Campus|Abilene Data Center
COMP-087,Lancium Abilene Clean Campus VI,"Lancium Abilene, LLC Lancium LLC",48441,,,operating,03/16/2025,200,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Abilene DC 6 LLC; occupant=Oracle America, Inc.; operator=Lancium Abilene, LLC Lancium LLC; addr_guess=NA; verify county/MW",Lancium Abilene|Abilene Clean Campus|Abilene Data Center
COMP-088,Lancium Abilene Clean Campus VII,"Lancium Abilene, LLC Lancium LLC",48441,,,operating,03/16/2025,200,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Abilene DC 7 LLC; occupant=Oracle America, Inc.; operator=Lancium Abilene, LLC Lancium LLC; addr_guess=NA; verify county/MW",Lancium Abilene|Abilene Clean Campus|Abilene Data Center
COMP-089,Lancium Abilene Clean Campus VIII,"Lancium Abilene, LLC Lancium LLC",48441,,,operating,03/16/2025,200,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,"owner=Abilene DC 8 LLC; occupant=Oracle America, Inc.; operator=Lancium Abilene, LLC Lancium LLC; addr_guess=NA; verify county/MW",Lancium Abilene|Abilene Clean Campus|Abilene Data Center
COMP-090,Lancium Clean Campus - Childress 1,Lancium LLC,48075,,,operating,03/25/2025,100,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Lancium LLC; occupant=Lancium LLC; operator=Lancium LLC; addr_guess=NA; verify county/MW,Lancium Childress|Childress
COMP-091,Lancium Clean Campus - Turkey 1,Lancium Turkey LLC,48191,,,operating,01/25/2026,100,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Lancium Turkey LLC; occupant=Lancium Turkey LLC; operator=Lancium Turkey LLC; addr_guess=NA; verify county/MW,Lancium.*Turkey|Clean Campus.*Turkey
COMP-094,Microsoft Corporation (SAT09 - SAT13),Microsoft Corporation,48029,,,operating,12/15/2015,75,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Microsoft Corporation; occupant=Microsoft Corporation; operator=Microsoft Corporation; addr_guess=NA; verify county/MW,San Antonio|SAT\d+|Microsoft.*Texas|Schertz|Selma|Universal City
COMP-095,Microsoft Corporation (SAT 15-17),Microsoft Corporation,48029,,,operating,04/04/2023,75,unknown,unknown,unknown,high,https://comptroller.texas.gov/taxes/data-centers/data-center-lists.php,owner=Microsoft Corporation; occupant=Microsoft Corporation; operator=Microsoft Corporation; addr_guess=NA; verify county/MW,\bSAT\s*\d
